program,pc,op,status,cycles_lower_bound,input_bytes,output_bytes,m,n,k,note
smoke,0,LOAD_CTX,mapped,1,0,32,0,0,0,256-bit CTX activation read (one beat = 32 bytes)
smoke,1,LOAD_WEIGHT,mapped,1,0,48,0,0,0,384-bit WRAM weight read (one beat = 48 bytes)
smoke,2,GEMM_W8A16,mapped,66,3,2,0,0,0,16×48 array capacity model
smoke,3,BIAS_ADD,mapped,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
smoke,4,TANH,mapped,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
smoke,5,STORE_ACTION,mapped,1,32,0,0,0,0,256-bit INT16 write beat; action adapter is downstream
smoke,6,END,mapped,1,0,0,0,0,0,control event
full,0,LOAD_CTX,fallback,1,0,32,0,0,0,256-bit CTX activation read (one beat = 32 bytes)
full,1,LOAD_WEIGHT,mapped,1,0,48,0,0,0,384-bit WRAM weight read (one beat = 48 bytes)
full,2,GEMM_W8A16,mapped,66,3,2,0,0,0,16×48 array capacity model
full,3,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,4,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,5,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,6,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,7,LAYER_NORM,mapped_candidate,3,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,8,ADD,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,9,ADD,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,10,ADD,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,11,ADD,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,12,ADD,mapped,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,13,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,14,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,15,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,16,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,17,LAYER_NORM,mapped_candidate,3,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,18,GEMM_W8A16,mapped,66,3,2,0,0,0,16×48 array capacity model
full,19,BMM_W8A16,mapped_candidate,66,3,2,0,0,0,BMM only when layouts/dependencies are compatible
full,20,SOFTMAX,mapped_candidate,1344,0,0,0,0,0,"max, LUT exp, sum and normalize"
full,21,BMM_W8A16,mapped_candidate,66,3,2,0,0,0,BMM only when layouts/dependencies are compatible
full,22,ADD,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,23,ADD,mapped,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,24,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,25,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,26,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,27,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,28,GELU,mapped,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,29,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,30,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,31,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,32,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,33,BIAS_ADD,fallback_or_integer,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,34,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,35,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,36,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,37,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,38,LAYER_NORM,mapped_candidate,3,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,39,GEMM_W8A16,mapped,66,3,2,0,0,0,16×48 array capacity model
full,40,BMM_W8A16,mapped_candidate,66,3,2,0,0,0,BMM only when layouts/dependencies are compatible
full,41,SOFTMAX,mapped_candidate,1344,0,0,0,0,0,"max, LUT exp, sum and normalize"
full,42,BMM_W8A16,mapped_candidate,66,3,2,0,0,0,BMM only when layouts/dependencies are compatible
full,43,ADD,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,44,ADD,mapped,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,45,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,46,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,47,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,48,GELU,mapped,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,49,GELU,mapped,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,50,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,51,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,52,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,53,BIAS_ADD,fallback_or_integer,4096,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,54,BIAS_ADD,fallback_or_integer,1,0,0,0,0,0,vector primitive; exact latency requires unit implementation
full,55,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,56,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,57,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,58,LAYER_NORM,mapped_candidate,12288,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,59,LAYER_NORM,mapped_candidate,3,0,0,0,0,0,mean/deviation/scale; current bounded integer RTL primitive
full,60,GEMM_W8A16,mapped,66,3,2,0,0,0,16×48 array capacity model
full,61,BMM_W8A16,mapped_candidate,66,3,2,0,0,0,BMM only when layouts/dependencies are compatible
